Year,School ID,School Name,Network,Governance,School Type,Community Area,Unit,School,Total,PE,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2005-2006,610159.0,,,,,,5730.0,Scammon,1082.0,,,,115.0,112.0,120.0,122.0,127.0,108.0,120.0,100.0,0.0,0.0,0.0,0.0
2005-2006,610179.0,,,,,,5960.0,Smyser,920.0,,,,81.0,102.0,99.0,92.0,94.0,116.0,108.0,110.0,0.0,0.0,0.0,0.0
2005-2006,610182.0,,,,,,5980.0,Solomon,383.0,,,,29.0,38.0,38.0,36.0,36.0,36.0,39.0,46.0,0.0,0.0,0.0,0.0
2005-2006,610163.0,,,,,,5770.0,Stock,161.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610201.0,,,,,,6190.0,"Thorp, O. A.",820.0,,,,87.0,87.0,87.0,96.0,97.0,95.0,96.0,88.0,0.0,0.0,0.0,0.0
2005-2006,610209.0,,,,,,6270.0,Volta,925.0,,,,96.0,96.0,101.0,106.0,83.0,84.0,92.0,88.0,0.0,0.0,0.0,0.0
2005-2006,610230.0,,,,,,6470.0,Wildwood,344.0,,,,33.0,30.0,39.0,30.0,28.0,45.0,58.0,47.0,0.0,0.0,0.0,0.0
2005-2006,610050.0,,,,,,4590.0,Arai Mid,36.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
2005-2006,609779.0,,,,,,2080.0,"Armstrong, G.",1316.0,,,,157.0,156.0,156.0,145.0,133.0,126.0,128.0,120.0,0.0,0.0,0.0,0.0
2005-2006,609782.0,,,,,,2110.0,Audubon,441.0,,,,43.0,40.0,37.0,32.0,37.0,32.0,43.0,49.0,0.0,0.0,0.0,0.0
2005-2006,609792.0,,,,,,2190.0,Bateman,996.0,,,,102.0,102.0,113.0,99.0,112.0,86.0,99.0,89.0,0.0,0.0,0.0,0.0
2005-2006,609799.0,,,,,,2270.0,Bell,832.0,,,,88.0,95.0,94.0,104.0,108.0,91.0,72.0,102.0,0.0,0.0,0.0,0.0
2005-2006,609803.0,,,,,,2300.0,Blaine,716.0,,,,98.0,72.0,63.0,73.0,49.0,38.0,37.0,23.0,0.0,0.0,0.0,0.0
2005-2006,609804.0,,,,,,2320.0,Boone,1061.0,,,,112.0,125.0,110.0,124.0,112.0,95.0,116.0,119.0,0.0,0.0,0.0,0.0
2005-2006,610242.0,,,,,,6600.0,Brennemann,307.0,,,,34.0,39.0,23.0,40.0,31.0,39.0,18.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609817.0,,,,,,2440.0,Budlong,812.0,,,,85.0,71.0,71.0,88.0,64.0,68.0,75.0,79.0,0.0,0.0,0.0,0.0
2005-2006,609852.0,,,,,,2750.0,Chappell,417.0,,,,41.0,41.0,41.0,57.0,45.0,49.0,46.0,28.0,0.0,0.0,0.0,0.0
2005-2006,609859.0,,,,,,2810.0,Clinton,1332.0,,,,156.0,139.0,156.0,123.0,142.0,174.0,165.0,157.0,0.0,0.0,0.0,0.0
2005-2006,609866.0,,,,,,2880.0,Coonley,311.0,,,,27.0,16.0,24.0,16.0,33.0,34.0,31.0,35.0,0.0,0.0,0.0,0.0
2005-2006,610355.0,,,,,,7910.0,Courtenay,204.0,,,,18.0,18.0,19.0,21.0,22.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609880.0,,,,,,2990.0,Decatur Classical,250.0,,,,27.0,56.0,25.0,46.0,46.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610363.0,,,,,,8000.0,Disney Magnet,1539.0,,,,184.0,198.0,196.0,170.0,158.0,146.0,134.0,116.0,0.0,0.0,0.0,0.0
2005-2006,609918.0,,,,,,3350.0,Field,529.0,,,,0.0,0.0,0.0,129.0,131.0,120.0,83.0,66.0,0.0,0.0,0.0,0.0
2005-2006,609933.0,,,,,,3480.0,Gale,664.0,,,,74.0,57.0,65.0,71.0,62.0,74.0,62.0,63.0,0.0,0.0,0.0,0.0
2005-2006,609945.0,,,,,,3590.0,Goudy,826.0,,,,67.0,72.0,78.0,77.0,89.0,94.0,82.0,87.0,0.0,0.0,0.0,0.0
2005-2006,609850.0,,,,,,2730.0,Greeley,508.0,,,,31.0,32.0,61.0,55.0,60.0,59.0,71.0,72.0,0.0,0.0,0.0,0.0
2005-2006,609963.0,,,,,,3730.0,Hamilton,240.0,,,,26.0,20.0,15.0,20.0,29.0,23.0,22.0,25.0,0.0,0.0,0.0,0.0
2005-2006,609976.0,,,,,,3850.0,Hayt,918.0,,,,112.0,96.0,102.0,92.0,86.0,97.0,85.0,86.0,0.0,0.0,0.0,0.0
2005-2006,610010.0,,,,,,4170.0,Jahn,481.0,,,,50.0,49.0,43.0,56.0,52.0,54.0,54.0,50.0,0.0,0.0,0.0,0.0
2005-2006,610011.0,,,,,,4180.0,Jamieson,800.0,,,,78.0,86.0,87.0,96.0,80.0,107.0,93.0,107.0,0.0,0.0,0.0,0.0
2005-2006,609865.0,,,,,,2870.0,Jordan,641.0,,,,77.0,76.0,70.0,56.0,57.0,64.0,51.0,47.0,0.0,0.0,0.0,0.0
2005-2006,610022.0,,,,,,4300.0,Kilmer,944.0,,,,112.0,91.0,108.0,98.0,99.0,79.0,83.0,85.0,0.0,0.0,0.0,0.0
2005-2006,610035.0,,,,,,4440.0,Lemoyne,125.0,,,,19.0,8.0,19.0,11.0,17.0,18.0,13.0,20.0,0.0,0.0,0.0,0.0
