Year,Network,School_ID,School_Name,White_n,White_pct,Black_n,Black_pct,Asian_n,Asian_pct,NativeAmerican_n,NativeAmerican_pct,Hispanic_n,Hispanic_pct,Mexican_n,Mexican_pct,PuertoRican_n,PuertoRican_pct,Cuban_n,Cuban_pct,OtherHispanic_n,OtherHispanic_pct,MENA_n,MENA_pct,Multiracial_n,Multiracial_pct,Hawaiian/Pacific Islander_n,Hawaiian/Pacific Islander_pct,Asian/Pacific Islander (Retired)_n,Asian/Pacific Islander (Retired)_pct,Not Available_n,Not Available_pct
1999-2000,,,,97.0,57.7,32.0,19.0,3.0,1.8,1.0,0.6,35.0,20.8,18.0,11.0,17.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,103.0,7.2,1260.0,87.7,39.0,2.7,7.0,0.5,27.0,1.9,22.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,485.0,53.1,51.0,5.6,111.0,12.2,10.0,1.1,256.0,28.0,127.0,14.0,79.0,9.0,2.0,0.0,48.0,5.3,,,,,,,,,,
1999-2000,,,,0.0,0.0,762.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,451.0,99.8,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,
1999-2000,,,,220.0,43.3,25.0,4.9,52.0,10.2,5.0,1.0,206.0,40.6,125.0,25.0,55.0,11.0,4.0,1.0,22.0,4.3,,,,,,,,,,
1999-2000,,,,334.0,45.7,99.0,13.5,78.0,10.7,5.0,0.7,215.0,29.4,110.0,15.0,63.0,9.0,9.0,1.0,33.0,4.5,,,,,,,,,,
1999-2000,,,,0.0,0.0,672.0,99.9,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,12.0,2.7,272.0,61.8,3.0,0.7,0.0,0.0,153.0,34.8,134.0,30.0,13.0,3.0,1.0,0.0,5.0,1.1,,,,,,,,,,
1999-2000,,,,0.0,0.0,587.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,5.0,1.1,436.0,93.4,2.0,0.4,3.0,0.6,21.0,4.5,20.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,109.0,20.5,70.0,13.2,31.0,5.8,1.0,0.2,320.0,60.3,183.0,34.0,93.0,18.0,5.0,1.0,39.0,7.3,,,,,,,,,,
1999-2000,,,,18.0,15.7,54.0,47.0,2.0,1.7,1.0,0.9,40.0,34.8,37.0,32.0,0.0,0.0,0.0,0.0,3.0,2.6,,,,,,,,,,
1999-2000,,,,264.0,14.7,1020.0,56.9,65.0,3.6,3.0,0.2,440.0,24.6,366.0,20.0,44.0,2.0,8.0,0.0,22.0,1.2,,,,,,,,,,
1999-2000,,,,0.0,0.0,715.0,98.5,2.0,0.3,0.0,0.0,9.0,1.2,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.4,,,,,,,,,,
1999-2000,,,,0.0,0.0,654.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,452.0,40.8,67.0,6.0,297.0,26.8,4.0,0.4,289.0,26.1,227.0,20.0,26.0,2.0,5.0,0.0,31.0,2.8,,,,,,,,,,
1999-2000,,,,0.0,0.0,1519.0,99.6,0.0,0.0,0.0,0.0,6.0,0.4,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.1,,,,,,,,,,
1999-2000,,,,2.0,0.2,614.0,57.4,0.0,0.0,0.0,0.0,454.0,42.4,415.0,39.0,26.0,2.0,2.0,0.0,11.0,1.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,1347.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,1.0,0.1,923.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,19.0,3.7,274.0,53.7,39.0,7.6,0.0,0.0,178.0,34.9,156.0,31.0,12.0,2.0,1.0,0.0,9.0,1.8,,,,,,,,,,
1999-2000,,,,72.0,7.6,29.0,3.0,11.0,1.2,1.0,0.1,838.0,88.1,457.0,48.0,344.0,36.0,4.0,0.0,33.0,3.5,,,,,,,,,,
1999-2000,,,,450.0,65.3,90.0,13.1,26.0,3.8,5.0,0.7,118.0,17.1,64.0,9.0,45.0,6.0,4.0,1.0,5.0,0.7,,,,,,,,,,
1999-2000,,,,22.0,3.8,263.0,45.3,0.0,0.0,0.0,0.0,295.0,50.9,246.0,42.0,9.0,2.0,0.0,0.0,40.0,6.9,,,,,,,,,,
1999-2000,,,,67.0,12.7,2.0,0.4,3.0,0.6,1.0,0.2,453.0,86.1,417.0,79.0,34.0,6.0,0.0,0.0,2.0,0.4,,,,,,,,,,
1999-2000,,,,1.0,0.2,428.0,99.5,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,396.0,98.5,1.0,0.2,0.0,0.0,5.0,1.2,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7,,,,,,,,,,
1999-2000,,,,0.0,0.0,413.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,1.0,2.4,40.0,95.2,0.0,0.0,0.0,0.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,,,,,,,,,,
1999-2000,,,,360.0,35.5,49.0,4.8,210.0,20.7,0.0,0.0,395.0,39.0,235.0,23.0,54.0,5.0,7.0,1.0,99.0,9.8,,,,,,,,,,
1999-2000,,,,0.0,0.0,659.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,50.0,4.4,119.0,10.4,31.0,2.7,3.0,0.3,943.0,82.3,693.0,60.0,187.0,16.0,1.0,0.0,62.0,5.4,,,,,,,,,,
1999-2000,,,,0.0,0.0,396.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,64.0,18.6,34.0,9.9,11.0,3.2,0.0,0.0,235.0,68.3,164.0,48.0,44.0,13.0,2.0,1.0,25.0,7.3,,,,,,,,,,
1999-2000,,,,0.0,0.0,368.0,97.9,0.0,0.0,1.0,0.3,7.0,1.9,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,,,,,,,,,,
1999-2000,,,,1.0,0.1,4.0,0.5,0.0,0.0,0.0,0.0,744.0,99.3,718.0,96.0,21.0,3.0,0.0,0.0,5.0,0.7,,,,,,,,,,
1999-2000,,,,0.0,0.0,821.0,98.8,1.0,0.1,0.0,0.0,9.0,1.1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,36.0,7.9,23.0,5.0,0.0,0.0,13.0,2.8,385.0,84.2,286.0,63.0,85.0,19.0,1.0,0.0,13.0,2.8,,,,,,,,,,
1999-2000,,,,67.0,12.9,9.0,1.7,10.0,1.9,3.0,0.6,430.0,82.9,401.0,77.0,18.0,4.0,2.0,0.0,9.0,1.7,,,,,,,,,,
1999-2000,,,,0.0,0.0,562.0,99.8,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,1.0,0.2,444.0,98.9,0.0,0.0,0.0,0.0,4.0,0.9,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,319.0,64.3,47.0,9.5,10.0,2.0,2.0,0.4,118.0,23.8,107.0,22.0,5.0,1.0,1.0,0.0,5.0,1.0,,,,,,,,,,
1999-2000,,,,31.0,5.3,449.0,76.4,2.0,0.3,0.0,0.0,106.0,18.0,67.0,11.0,34.0,6.0,0.0,0.0,5.0,0.9,,,,,,,,,,
1999-2000,,,,1.0,0.2,659.0,99.5,0.0,0.0,0.0,0.0,2.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,2.0,0.3,571.0,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,976.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,16.0,1.3,503.0,40.2,0.0,0.0,13.0,1.0,718.0,57.4,445.0,36.0,253.0,20.0,3.0,0.0,17.0,1.4,,,,,,,,,,
1999-2000,,,,339.0,68.5,35.0,7.1,20.0,4.0,0.0,0.0,101.0,20.4,42.0,8.0,49.0,10.0,2.0,0.0,8.0,1.6,,,,,,,,,,
1999-2000,,,,3.0,0.4,5.0,0.6,0.0,0.0,0.0,0.0,831.0,99.0,814.0,97.0,12.0,1.0,0.0,0.0,5.0,0.6,,,,,,,,,,
1999-2000,,,,0.0,0.0,518.0,99.8,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,
1999-2000,,,,14.0,2.7,144.0,27.3,6.0,1.1,0.0,0.0,364.0,68.9,279.0,53.0,75.0,14.0,5.0,1.0,5.0,0.9,,,,,,,,,,
1999-2000,,,,13.0,1.2,1076.0,97.4,1.0,0.1,0.0,0.0,15.0,1.4,11.0,1.0,2.0,0.0,0.0,0.0,2.0,0.2,,,,,,,,,,
