School Information,"Includes School Name, School Type, Community Area, Network, and Opportunity Index score (where applicable).",Year,Source_File,Source_Sheet,School Name,School Type,Network,Community Area,Opportunity Index,Fall 2024 Total Enrollment,Fall 2024 K-12 Non-Cluster Enrollment,Fall 2023 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2023 to Fall 2024,Student : Teacher Ratio for Core Classroom Teachers (Unadjusted for Floor),Per-Pupil Total For Need-Based Flexible Funding (Unadjusted for Floor),Per-Pupil Total For Title I Funding,Core Classroom,Holistic (ES Only),Title I Interventionists,Supplemental Programmatic Teachers,Critical Language Teachers,Other (Misc Grant-Funded),Teachers Received on Appeal,Teacher Positions Liquidated for Discretionary Dollars (Reference Only),Principal,Asst. Principal,Clerk,Counselor,Restorative Justice Coord.,Athletic Director,Athletic Stipends,School Assistant,Part-Time Operational Position,Other Central FTEs (incl. Awarded on Appeal),Liquidated AP,Liquidated RJC,Liquidated School Assistant,Liquidated Part-Time Operations Bucket,Teachers,Asst. Principal.1,Clerk.1,Counselor.1,Restorative Justice Coord..1,Tech Coord.,Teacher/ Classroom Assistants,Other Non-Teacher Discretionary Staff,Discretionary Non-FTE Funding,Special Ed Teachers,Special Ed Paraprofessionals,Case Managers,Other Special Ed FTEs,Early Childhood Teachers,Early Childhood Paraprofessionals,Other Early Chlidhood FTEs,Early College (ECCE) Positions,College & Career Coaches,STEM Coords & Teachers,IB Coord.,RGC & RGC-EL Coord.,Personalized Learning Coord.,Montessori Program Coord.,Montessori Positions,JROTC Positions,Bilingual & Dual Language Coordinators,STLS Advocates,Instructional Support Buckets,Lead Coaches,Lunchroom,Security,Whole School Safety Funding,School and District Improvement Grant (SDI) Allocation,School Internal Account Funded Teacher Positions,School Internal Account Funded Non-Teacher Positions,Fall 2024 PE/PK Enrollment,Fall 2024 K-12 Enrollment,Fall 2023 Total Enrollment,Change in Total Enrollment from Fall 2023 to Fall 2024,Centrally Allocated General Education Teachers,Fall 2025 Total Enrollment,Fall 2025 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2024 to Fall 2025,Loss Cap Teachers,Critical/World Language Teachers,School Operations Support - Add'l Flexible Funding,Other Central FTEs (incl. Class Size TA's),School Internal Account Funded AP Positions,Fall 2025 PE/PK Enrollment,Fall 2025 K-12 Enrollment,Change in Total Enrollment from Fall 2024 to Fall 2025,Centrally Allocated Teachers,Other Centrally-Allocated Positions
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MANLEY HS,High,Network 15,EAST GARFIELD PARK,45.0,128.0,128.0,78.0,50.0,18:1,1689.0,402.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,60000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.8,213377.74,5.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18640.0,1.0,1.0,4.0,160000.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MANN,Elementary,Network 12,SOUTH CHICAGO,35.0,278.0,259.0,263.0,-4.0,24:1,641.0,432.25,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,69244.55,6.0,3.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MARINE LEADERSHIP AT AMES HS,High,Network 14,LOGAN SQUARE,31.0,546.0,546.0,628.0,-82.0,19:1,1437.0,411.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,60000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,376532.43000000005,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,18640.0,0.0,4.0,3.0,0.0,110620.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MARQUETTE,Elementary,Network 10,CHICAGO LAWN,37.0,1025.0,911.0,935.0,-24.0,24:1,665.0,428.0,38.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.4,158256.8,9.0,20.0,1.5,0.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,12.0,3.0,0.0,102782.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MARSH,Elementary,Network 13,SOUTH DEERING,39.0,622.0,542.0,542.0,0.0,22:1,689.0,406.75,25.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,296728.25,9.0,28.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MARSHALL HS,High,Network 15,EAST GARFIELD PARK,41.0,199.0,199.0,174.0,25.0,18:1,1617.0,432.25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,60000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175026.36,6.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,2.0,5.0,160000.0,118046.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MASON,Elementary,Network 7,NORTH LAWNDALE,45.0,238.0,208.0,213.0,-5.0,22:1,761.0,415.25,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97501.05,6.0,7.0,0.5,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,3.0,1.0,0.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MATHER HS,High,Network 14,WEST RIDGE,29.0,1665.0,1665.0,1683.0,-18.0,19:1,1401.0,372.75,88.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,4.0,2.0,0.0,1.0,3.0,11.0,393190.73,18.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,18640.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MAYER,Elementary,Network 4,LINCOLN PARK,16.0,710.0,629.0,630.0,-1.0,26:1,413.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108086.75,7.0,4.0,1.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,18640.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MAYS,Elementary,Network 11,ENGLEWOOD,43.0,280.0,263.0,234.0,29.0,22:1,737.0,402.5,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,163896.15,4.0,7.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,1.0,4.0,1.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MCAULIFFE,Elementary,Network 4,HERMOSA,34.0,522.0,453.0,499.0,-46.0,24:1,629.0,415.25,19.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,328811.5,10.0,11.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MCCORMICK,Elementary,Network 7,SOUTH LAWNDALE,47.0,501.0,418.0,382.0,36.0,22:1,785.0,419.5,19.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,1.0,0.0,0.0,0.68,0.0,0.0,192916.0,5.0,14.0,1.0,0.0,7.35,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18640.0,1.0,6.0,2.0,0.0,86440.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MCCUTCHEON,Elementary,Network 2,UPTOWN,30.0,322.0,230.0,240.0,-10.0,24:1,581.0,415.25,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20322.88,13.0,27.0,1.5,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MCDADE,Elementary,Network 12,CHATHAM,28.0,208.0,208.0,217.0,-9.0,24:1,557.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139999.65,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MCDOWELL,Elementary,ISP,CALUMET HEIGHTS,35.0,111.0,98.0,101.0,-3.0,24:1,641.0,372.75,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64815.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MCKAY,Elementary,Network 10,CHICAGO LAWN,37.0,620.0,498.0,530.0,-32.0,24:1,665.0,419.5,21.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,62779.46000000001,8.0,11.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,18640.0,0.0,5.0,2.0,0.0,113233.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MCNAIR,Elementary,Network 3,AUSTIN,42.0,338.0,264.0,276.0,-12.0,22:1,725.0,406.75,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,185916.0,12.0,41.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18640.0,1.0,3.0,1.0,0.0,46383.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MCPHERSON,Elementary,Network 2,LINCOLN SQUARE,26.0,796.0,600.0,556.0,44.0,26:1,533.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.5,51995.76,18.0,41.0,1.5,0.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MELODY,Elementary,Network 5,WEST GARFIELD PARK,41.0,344.0,293.0,280.0,13.0,22:1,713.0,440.75,14.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,158519.34,5.0,10.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,5.0,3.0,0.0,86440.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,METCALFE,Elementary,Network 13,WEST PULLMAN,36.0,352.0,333.0,289.0,44.0,24:1,653.0,440.75,14.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,137542.43,4.0,10.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,1.0,4.0,3.0,0.0,50646.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MIÑOSO,Elementary,Network 6,BRIDGEPORT,33.0,304.0,251.0,266.0,-15.0,24:1,617.0,423.75,11.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88853.0,11.0,34.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MIRELES,Elementary,Network 12,SOUTH CHICAGO,37.0,540.0,494.0,424.0,70.0,24:1,665.0,423.75,21.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.0,0.0,2.0,171200.15,10.0,15.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,5.0,1.0,0.0,35520.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MITCHELL,Elementary,ISP,WEST TOWN,25.0,446.0,426.0,376.0,50.0,26:1,521.0,0.0,17.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102028.45,6.0,7.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,4.0,1.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MOLLISON,Elementary,Network 9,GRAND BOULEVARD,38.0,234.0,216.0,219.0,-3.0,22:1,677.0,449.25,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,217629.0,4.0,8.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,1.0,4.0,2.0,0.0,86440.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MONARCAS,Elementary,Network 8,GAGE PARK,38.0,801.0,682.0,702.0,-20.0,22:1,677.0,406.75,31.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,425854.9,5.0,6.0,1.0,0.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MOOS,Elementary,Network 5,WEST TOWN,30.0,437.0,366.0,396.0,-30.0,24:1,581.0,372.75,16.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199175.61,10.0,17.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,3.0,2.0,0.0,117908.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MORGAN PARK HS,High,Network 16,MORGAN PARK,25.0,1218.0,1193.0,1142.0,51.0,21:1,1329.0,364.25,57.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.4,1.0,0.38,0.0,0.0,9.0,414805.3,12.0,10.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18640.0,0.0,5.0,14.0,150000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MORRILL,Elementary,Network 10,CHICAGO LAWN,42.0,598.0,536.0,486.0,50.0,22:1,725.0,423.75,25.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,353521.25,13.0,15.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,18640.0,1.0,4.0,2.0,0.0,44183.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MORTON,Elementary,Network 5,HUMBOLDT PARK,34.0,269.0,245.0,259.0,-14.0,24:1,629.0,372.75,11.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,196038.46,9.0,9.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,18640.0,0.0,2.0,1.83,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MOSAIC,Elementary,Network 2,WEST RIDGE,29.0,745.0,675.0,708.0,-33.0,24:1,569.0,385.5,29.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.1,217206.02,12.0,16.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,6.0,0.9,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MOUNT GREENWOOD,Elementary,ISP,MOUNT GREENWOOD,15.0,1178.0,1113.0,1091.0,22.0,26:1,401.0,0.0,43.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,2.0,0.0,119538.41,11.0,29.0,1.5,0.0,2.17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MOUNT VERNON,Elementary,Network 13,WASHINGTON HEIGHTS,31.0,240.0,224.0,232.0,-8.0,24:1,593.0,419.5,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212671.23,4.0,9.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MOZART,Elementary,Network 4,LOGAN SQUARE,36.0,500.0,437.0,452.0,-15.0,24:1,653.0,411.0,19.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,74065.06,8.0,23.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18640.0,0.0,5.0,2.0,0.0,127551.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MULTICULTURAL ARTS HS,High,Network 15,SOUTH LAWNDALE,46.0,276.0,276.0,253.0,23.0,18:1,1707.0,394.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,265139.23,6.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,1.0,0.0,0.0,0.0,25000.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MURPHY,Elementary,Network 1,IRVING PARK,33.0,516.0,454.0,436.0,18.0,24:1,617.0,283.5,19.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,188313.75,11.0,11.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,MURRAY,Elementary,Network 9,HYDE PARK,32.0,481.0,481.0,464.0,17.0,24:1,605.0,313.25,21.0,5.0,2.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,399230.65,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,NASH,Elementary,Network 3,AUSTIN,40.0,258.0,204.0,219.0,-15.0,22:1,701.0,487.5,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72246.55,8.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18640.0,1.0,3.0,2.0,0.0,86440.0,0.0,0.0,,,,,,,,,,,,,,,,,,
