school_year,network,metric,pct,n
2019-2020,Network 7,English Learners,0.4038,6546
2019-2020,Network 8,English Learners,0.3141,7186
2019-2020,Network 9,English Learners,0.0163,220
2019-2020,Network 10,English Learners,0.1774,4390
2019-2020,Network 11,English Learners,0.0216,352
2019-2020,Network 12,English Learners,0.0298,410
2019-2020,Network 13,English Learners,0.0805,1246
2019-2020,AUSL,English Learners,0.0884,1492
2019-2020,Service Leadership Academies,English Learners,0.0627,193
2019-2020,ISP,English Learners,0.198,7889
2019-2020,Charter,English Learners,0.1282,6904
2019-2020,Contract,English Learners,0.0059,10
2019-2020,Options,English Learners,0.0391,319
2014-2015,AUSL,English Learners,0.0737,1325
2014-2015,Service Leadership Academies,English Learners,0.0548,169
2014-2015,Network 1,English Learners,0.2256,9118
2014-2015,Network 2,English Learners,0.2747,7210
2014-2015,Network 3,English Learners,0.2425,5666
2014-2015,Network 4,English Learners,0.1717,5022
2014-2015,Network 5,English Learners,0.1391,2242
2014-2015,Network 6,English Learners,0.1345,2938
2014-2015,Network 7,English Learners,0.4116,7364
2014-2015,Network 8,English Learners,0.3587,10823
2014-2015,Network 9,English Learners,0.0147,207
2014-2015,Network 10,English Learners,0.1658,4358
2014-2015,Network 11,English Learners,0.0169,286
2014-2015,Network 12,English Learners,0.0259,345
2014-2015,Network 13,English Learners,0.0906,1501
2014-2015,OS4,English Learners,0.0841,1639
2014-2015,Options,English Learners,0.028,263
2014-2015,Contract,English Learners,0.0147,27
2014-2015,Charter,English Learners,0.1121,5878
2013-2014,Network 1,English Learners,0.2188,8964
2013-2014,Network 2,English Learners,0.2557,6945
2013-2014,Network 3,English Learners,0.2358,5791
2013-2014,Network 4,English Learners,0.1815,5290
2013-2014,Network 5,English Learners,0.1302,2360
2013-2014,Network 6,English Learners,0.1239,2580
2013-2014,Network 7,English Learners,0.4162,7724
2013-2014,Network 8,English Learners,0.3842,11208
2013-2014,Network 9,English Learners,0.0101,149
2013-2014,Network 10,English Learners,0.1793,4470
2013-2014,Network 11,English Learners,0.0112,212
2013-2014,Network 12,English Learners,0.0269,395
2013-2014,Network 13,English Learners,0.0916,1569
2013-2014,AUSL,English Learners,0.0808,1378
2013-2014,Charter,English Learners,0.0784,4279
2013-2014,Contract,English Learners,0.0142,37
2013-2014,Military,English Learners,0.021,57
2013-2014,OS4,English Learners,0.0814,1816
2013-2014,Options,English Learners,0.0211,50
2011-2012,Austin-North Lawndale Elementary Network,English Learners,0.0226,384
2011-2012,Burnham Park Elementary Network,English Learners,0.0073,116
2011-2012,Englewood-Gresham Elementary Network,English Learners,0.002,29
2011-2012,Far South Side High School Network,English Learners,0.0127,138
2011-2012,Fullerton Elementary Network,English Learners,0.3264,10896
2011-2012,Fulton Elementary Network,English Learners,0.1418,1929
2011-2012,Garfield-Humboldt Elementary Network,English Learners,0.0995,1395
2011-2012,Lake Calumet Elementary Network,English Learners,0.1177,1563
2011-2012,Midway Elementary Network,English Learners,0.301,10500
2011-2012,North-Northwest Side High School Network,English Learners,0.0855,3008
2011-2012,O'Hare Elementary Network,English Learners,0.2519,7664
2011-2012,Pershing Elementary Network,English Learners,0.3205,7176
2011-2012,Pilsen-Little Village Elementary Network,English Learners,0.4403,7861
2011-2012,Ravenswood-Ridge Elementary Network,English Learners,0.2706,7562
2011-2012,Rock Island Elementary Network,English Learners,0.0014,17
2011-2012,Skyway Elementary Network,English Learners,0.0238,434
2011-2012,South Side High School Network,English Learners,0.0159,372
2011-2012,Southwest Side High School Network,English Learners,0.0648,1451
2011-2012,West Side High School Network,English Learners,0.0534,1400
2025-2026,Network 1,Students with Disabilities,0.1698,3961
2025-2026,Network 2,Students with Disabilities,0.1793,2569
2025-2026,Network 3,Students with Disabilities,0.2081,2619
2025-2026,Network 4,Students with Disabilities,0.1567,2880
2025-2026,Network 5,Students with Disabilities,0.2062,1729
2025-2026,Network 6,Students with Disabilities,0.166,1969
2025-2026,Network 7,Students with Disabilities,0.2205,1886
2025-2026,Network 8,Students with Disabilities,0.1794,2463
2025-2026,Network 9,Students with Disabilities,0.1666,1637
2025-2026,Network 10,Students with Disabilities,0.2,3646
2025-2026,Network 11,Students with Disabilities,0.2145,1934
2025-2026,Network 12,Students with Disabilities,0.1809,1885
2025-2026,Network 13,Students with Disabilities,0.1896,2219
2025-2026,Network 14,Students with Disabilities,0.1638,4481
2025-2026,Network 15,Students with Disabilities,0.1341,2747
2025-2026,Network 16,Students with Disabilities,0.1939,2417
2025-2026,Network 17,Students with Disabilities,0.1578,1637
2025-2026,ISP,Students with Disabilities,0.167,3659
2025-2026,Charter,Students with Disabilities,0.1566,7233
2025-2026,Contract,Students with Disabilities,0.1779,151
2025-2026,Options,Students with Disabilities,0.1802,1124
2024-2025,Network 1,Students with Disabilities,0.1623,3865
2024-2025,Network 2,Students with Disabilities,0.1774,2348
2024-2025,Network 3,Students with Disabilities,0.1848,2371
2024-2025,Network 4,Students with Disabilities,0.147,2741
2024-2025,Network 5,Students with Disabilities,0.1923,1684
2024-2025,Network 6,Students with Disabilities,0.1546,1832
2024-2025,Network 7,Students with Disabilities,0.1995,1838
2024-2025,Network 8,Students with Disabilities,0.1696,2239
2024-2025,Network 9,Students with Disabilities,0.151,1540
2024-2025,Network 10,Students with Disabilities,0.1877,3403
2024-2025,Network 11,Students with Disabilities,0.196,1763
2024-2025,Network 12,Students with Disabilities,0.1719,1830
2024-2025,Network 13,Students with Disabilities,0.1738,2078
2024-2025,Network 14,Students with Disabilities,0.1576,4451
2024-2025,Network 15,Students with Disabilities,0.133,2786
2024-2025,Network 16,Students with Disabilities,0.1958,2364
2024-2025,Network 17,Students with Disabilities,0.1568,1659
2024-2025,ISP,Students with Disabilities,0.1576,4259
2024-2025,Charter,Students with Disabilities,0.1504,7174
2024-2025,Contract,Students with Disabilities,0.1541,166
2024-2025,Options,Students with Disabilities,0.179,1107
2023-2024,Network 1,Students with Disabilities,0.1605,3770
2023-2024,Network 2,Students with Disabilities,0.1674,2090
2023-2024,Network 3,Students with Disabilities,0.1776,2275
2023-2024,Network 4,Students with Disabilities,0.1372,2541
2023-2024,Network 5,Students with Disabilities,0.1803,1540
2023-2024,Network 6,Students with Disabilities,0.1464,1617
2023-2024,Network 7,Students with Disabilities,0.1966,1729
2023-2024,Network 8,Students with Disabilities,0.1756,2011
2023-2024,Network 9,Students with Disabilities,0.1456,1423
2023-2024,Network 10,Students with Disabilities,0.1819,3138
2023-2024,Network 11,Students with Disabilities,0.1974,1617
2023-2024,Network 12,Students with Disabilities,0.1643,1677
2023-2024,Network 13,Students with Disabilities,0.1654,1941
2023-2024,Network 14,Students with Disabilities,0.1585,4480
2023-2024,Network 15,Students with Disabilities,0.1336,2822
2023-2024,Network 16,Students with Disabilities,0.1754,2039
2023-2024,Network 17,Students with Disabilities,0.1603,1690
2023-2024,ISP,Students with Disabilities,0.1578,5006
2023-2024,Charter,Students with Disabilities,0.148,7165
2023-2024,Contract,Students with Disabilities,0.1452,171
2023-2024,Options,Students with Disabilities,0.1915,1168
2022-2023,Network 1,Students with Disabilities,0.1565,3443
2022-2023,Network 2,Students with Disabilities,0.1543,1858
2022-2023,Network 3,Students with Disabilities,0.1637,2104
2022-2023,Network 4,Students with Disabilities,0.128,2245
2022-2023,Network 5,Students with Disabilities,0.1661,1401
2022-2023,Network 6,Students with Disabilities,0.1366,1300
2022-2023,Network 7,Students with Disabilities,0.1773,1558
2022-2023,Network 8,Students with Disabilities,0.1598,1800
2022-2023,Network 9,Students with Disabilities,0.1341,1283
2022-2023,Network 10,Students with Disabilities,0.1706,2801
2022-2023,Network 11,Students with Disabilities,0.1719,1439
2022-2023,Network 12,Students with Disabilities,0.1425,1465
2022-2023,Network 13,Students with Disabilities,0.1538,1636
2022-2023,Network 14,Students with Disabilities,0.1561,4083
2022-2023,Network 15,Students with Disabilities,0.1381,2353
2022-2023,Network 16,Students with Disabilities,0.1832,2244
2022-2023,Network 17,Students with Disabilities,0.1619,1738
2022-2023,AUSL,Students with Disabilities,0.1406,589
2022-2023,ISP,Students with Disabilities,0.1442,5480
2022-2023,Charter,Students with Disabilities,0.1481,7289
2022-2023,Contract,Students with Disabilities,0.1689,243
2022-2023,Options,Students with Disabilities,0.1852,995
2021-2022,Network 1,Students with Disabilities,0.1467,3018
2021-2022,Network 2,Students with Disabilities,0.1462,1606
2021-2022,Network 3,Students with Disabilities,0.1534,1829
2021-2022,Network 4,Students with Disabilities,0.123,2049
2021-2022,Network 5,Students with Disabilities,0.1583,1214
2021-2022,Network 6,Students with Disabilities,0.1365,1196
2021-2022,Network 7,Students with Disabilities,0.1547,1314
2021-2022,Network 8,Students with Disabilities,0.144,1724
2021-2022,Network 9,Students with Disabilities,0.1235,1130
2021-2022,Network 10,Students with Disabilities,0.1596,2662
2021-2022,Network 11,Students with Disabilities,0.1634,1408
2021-2022,Network 12,Students with Disabilities,0.1354,1318
2021-2022,Network 13,Students with Disabilities,0.1435,1482
2021-2022,Network 14,Students with Disabilities,0.1535,3998
2021-2022,Network 15,Students with Disabilities,0.144,2181
2021-2022,Network 16,Students with Disabilities,0.1858,2293
2021-2022,Network 17,Students with Disabilities,0.1558,1661
2021-2022,AUSL,Students with Disabilities,0.145,1118
2021-2022,ISP,Students with Disabilities,0.1322,6434
2021-2022,Charter,Students with Disabilities,0.152,7664
2021-2022,Contract,Students with Disabilities,0.1721,260
2021-2022,Options,Students with Disabilities,0.1866,1190
2020-2021,Network 1,Students with Disabilities,0.1458,3137
2020-2021,Network 2,Students with Disabilities,0.1493,1550
2020-2021,Network 3,Students with Disabilities,0.1539,1755
2020-2021,Network 4,Students with Disabilities,0.1241,2026
2020-2021,Network 5,Students with Disabilities,0.1605,1281
2020-2021,Network 6,Students with Disabilities,0.1367,1306
2020-2021,Network 7,Students with Disabilities,0.1457,1085
2020-2021,Network 8,Students with Disabilities,0.1436,1629
2020-2021,Network 9,Students with Disabilities,0.125,1087
2020-2021,Network 10,Students with Disabilities,0.1627,2637
2020-2021,Network 11,Students with Disabilities,0.171,1525
2020-2021,Network 12,Students with Disabilities,0.1348,1228
2020-2021,Network 13,Students with Disabilities,0.1531,1578
2020-2021,Network 14,Students with Disabilities,0.1577,3801
2020-2021,Network 15,Students with Disabilities,0.1401,2182
2020-2021,Network 16,Students with Disabilities,0.1987,2131
2020-2021,Network 17,Students with Disabilities,0.1503,1604
2020-2021,AUSL,Students with Disabilities,0.1407,2075
2020-2021,ISP,Students with Disabilities,0.1207,6781
2020-2021,Charter,Students with Disabilities,0.1516,7788
2020-2021,Contract,Students with Disabilities,0.1663,242
2020-2021,Options,Students with Disabilities,0.1852,1227
2019-2020,Network 1,Students with Disabilities,0.1453,5211
2019-2020,Network 2,Students with Disabilities,0.138,3407
2019-2020,Network 3,Students with Disabilities,0.144,2856
2019-2020,Network 4,Students with Disabilities,0.1072,2633
2019-2020,Network 5,Students with Disabilities,0.1526,2343
2019-2020,Network 6,Students with Disabilities,0.1253,1827
2019-2020,Network 7,Students with Disabilities,0.1446,2344
2019-2020,Network 8,Students with Disabilities,0.1241,2840
2019-2020,Network 9,Students with Disabilities,0.119,1611
2019-2020,Network 10,Students with Disabilities,0.1502,3717
2019-2020,Network 11,Students with Disabilities,0.1656,2705
2019-2020,Network 12,Students with Disabilities,0.1594,2196
2019-2020,Network 13,Students with Disabilities,0.136,2106
2019-2020,AUSL,Students with Disabilities,0.132,2229
2019-2020,Service Leadership Academies,Students with Disabilities,0.0865,266
2019-2020,ISP,Students with Disabilities,0.1118,4455
2019-2020,Charter,Students with Disabilities,0.1407,7577
2019-2020,Contract,Students with Disabilities,0.1345,227
2019-2020,Options,Students with Disabilities,0.1893,1543
2014-2015,AUSL,Students with Disabilities,0.1312,2358
2014-2015,Service Leadership Academies,Students with Disabilities,0.0927,286
2014-2015,Network 1,Students with Disabilities,0.1394,5636
2014-2015,Network 2,Students with Disabilities,0.1278,3354
2014-2015,Network 3,Students with Disabilities,0.1308,3055
2014-2015,Network 4,Students with Disabilities,0.1018,2976
2014-2015,Network 5,Students with Disabilities,0.1373,2213
2014-2015,Network 6,Students with Disabilities,0.1137,2483
2014-2015,Network 7,Students with Disabilities,0.1308,2340
2014-2015,Network 8,Students with Disabilities,0.1072,3235
2014-2015,Network 9,Students with Disabilities,0.1126,1586
2014-2015,Network 10,Students with Disabilities,0.1439,3781
2014-2015,Network 11,Students with Disabilities,0.1466,2477
2014-2015,Network 12,Students with Disabilities,0.1354,1806
2014-2015,Network 13,Students with Disabilities,0.122,2022
2014-2015,OS4,Students with Disabilities,0.1608,3135
2014-2015,Options,Students with Disabilities,0.1741,1634
2014-2015,Contract,Students with Disabilities,0.1417,260
2014-2015,Charter,Students with Disabilities,0.1294,6789
2013-2014,Network 1,Students with Disabilities,0.1379,5648
2013-2014,Network 2,Students with Disabilities,0.1269,3446
2013-2014,Network 3,Students with Disabilities,0.1303,3200
2013-2014,Network 4,Students with Disabilities,0.0978,2852
2013-2014,Network 5,Students with Disabilities,0.1372,2486
2013-2014,Network 6,Students with Disabilities,0.1146,2387
2013-2014,Network 7,Students with Disabilities,0.1226,2276
2013-2014,Network 8,Students with Disabilities,0.1012,2954
2013-2014,Network 9,Students with Disabilities,0.1122,1657
2013-2014,Network 10,Students with Disabilities,0.1375,3428
2013-2014,Network 11,Students with Disabilities,0.1405,2654
2013-2014,Network 12,Students with Disabilities,0.137,2013
2013-2014,Network 13,Students with Disabilities,0.1189,2036
2013-2014,AUSL,Students with Disabilities,0.1304,2224
2013-2014,Charter,Students with Disabilities,0.1249,6815
2013-2014,Contract,Students with Disabilities,0.1355,352
2013-2014,Military,Students with Disabilities,0.0908,246
2013-2014,OS4,Students with Disabilities,0.1496,3336
2013-2014,Options,Students with Disabilities,0.1933,459
2011-2012,Austin-North Lawndale Elementary Network,Students with Disabilities,0.1209,2058
2011-2012,Burnham Park Elementary Network,Students with Disabilities,0.0998,1595
2011-2012,Englewood-Gresham Elementary Network,Students with Disabilities,0.1201,1745
2011-2012,Far South Side High School Network,Students with Disabilities,0.139,1512
2011-2012,Fullerton Elementary Network,Students with Disabilities,0.1102,3678
2011-2012,Fulton Elementary Network,Students with Disabilities,0.1472,2003
2011-2012,Garfield-Humboldt Elementary Network,Students with Disabilities,0.1057,1483
2011-2012,Lake Calumet Elementary Network,Students with Disabilities,0.1085,1440
2011-2012,Midway Elementary Network,Students with Disabilities,0.1139,3973
2011-2012,North-Northwest Side High School Network,Students with Disabilities,0.1288,4532
2011-2012,O'Hare Elementary Network,Students with Disabilities,0.1245,3790
2011-2012,Pershing Elementary Network,Students with Disabilities,0.0992,2222
2011-2012,Pilsen-Little Village Elementary Network,Students with Disabilities,0.1035,1848
2011-2012,Ravenswood-Ridge Elementary Network,Students with Disabilities,0.1163,3250
2011-2012,Rock Island Elementary Network,Students with Disabilities,0.1223,1524
2011-2012,Skyway Elementary Network,Students with Disabilities,0.1128,2058
2011-2012,South Side High School Network,Students with Disabilities,0.1454,3405
2011-2012,Southwest Side High School Network,Students with Disabilities,0.1486,3327
2011-2012,West Side High School Network,Students with Disabilities,0.1517,3976
2025-2026,Network 1,Economically Disadvantaged,0.5028,11732
2025-2026,Network 2,Economically Disadvantaged,0.5463,7826
2025-2026,Network 3,Economically Disadvantaged,0.8229,10357
2025-2026,Network 4,Economically Disadvantaged,0.4224,7763
2025-2026,Network 5,Economically Disadvantaged,0.8403,7046
2025-2026,Network 6,Economically Disadvantaged,0.5618,6665
2025-2026,Network 7,Economically Disadvantaged,0.836,7152
2025-2026,Network 8,Economically Disadvantaged,0.8186,11240
2025-2026,Network 9,Economically Disadvantaged,0.7504,7372
2025-2026,Network 10,Economically Disadvantaged,0.7064,12880
2025-2026,Network 11,Economically Disadvantaged,0.8153,7352
2025-2026,Network 12,Economically Disadvantaged,0.8131,8471
2025-2026,Network 13,Economically Disadvantaged,0.7973,9330
2025-2026,Network 14,Economically Disadvantaged,0.6242,17075
2025-2026,Network 15,Economically Disadvantaged,0.7273,14899
2025-2026,Network 16,Economically Disadvantaged,0.8566,10677
2025-2026,Network 17,Economically Disadvantaged,0.8251,8558
2025-2026,ISP,Economically Disadvantaged,0.6598,14460
2025-2026,Charter,Economically Disadvantaged,0.8629,39863
2025-2026,Contract,Economically Disadvantaged,0.722,613
2025-2026,Options,Economically Disadvantaged,0.9279,5788
2024-2025,Network 1,Economically Disadvantaged,0.5098,12142
2024-2025,Network 2,Economically Disadvantaged,0.5634,7458
2024-2025,Network 3,Economically Disadvantaged,0.8007,10273
2024-2025,Network 4,Economically Disadvantaged,0.4336,8087
2024-2025,Network 5,Economically Disadvantaged,0.8186,7167
2024-2025,Network 6,Economically Disadvantaged,0.5523,6544
2024-2025,Network 7,Economically Disadvantaged,0.8057,7422
2024-2025,Network 8,Economically Disadvantaged,0.8015,10582
2024-2025,Network 9,Economically Disadvantaged,0.7318,7465
2024-2025,Network 10,Economically Disadvantaged,0.7121,12911
2024-2025,Network 11,Economically Disadvantaged,0.8088,7274
2024-2025,Network 12,Economically Disadvantaged,0.801,8526
2024-2025,Network 13,Economically Disadvantaged,0.794,9492
2024-2025,Network 14,Economically Disadvantaged,0.6346,17919
2024-2025,Network 15,Economically Disadvantaged,0.729,15266
2024-2025,Network 16,Economically Disadvantaged,0.8405,10149
2024-2025,Network 17,Economically Disadvantaged,0.8325,8809
2024-2025,ISP,Economically Disadvantaged,0.6641,17949
2024-2025,Charter,Economically Disadvantaged,0.8611,41082
2024-2025,Contract,Economically Disadvantaged,0.7586,817
2024-2025,Options,Economically Disadvantaged,0.9089,5620
2023-2024,Network 1,Economically Disadvantaged,0.4869,11439
2023-2024,Network 2,Economically Disadvantaged,0.5421,6766
2023-2024,Network 3,Economically Disadvantaged,0.7823,10024
2023-2024,Network 4,Economically Disadvantaged,0.4181,7744
2023-2024,Network 5,Economically Disadvantaged,0.8031,6858
2023-2024,Network 6,Economically Disadvantaged,0.5526,6104
2023-2024,Network 7,Economically Disadvantaged,0.7959,6998
