school_year,network,metric,pct,n
2020-2021,Network 1,Economically Disadvantaged,0.4594,9888
2020-2021,Network 2,Economically Disadvantaged,0.5775,5996
2020-2021,Network 3,Economically Disadvantaged,0.7002,7986
2020-2021,Network 4,Economically Disadvantaged,0.4284,6996
2020-2021,Network 5,Economically Disadvantaged,0.8213,6554
2020-2021,Network 6,Economically Disadvantaged,0.5208,4977
2020-2021,Network 7,Economically Disadvantaged,0.8241,6138
2020-2021,Network 8,Economically Disadvantaged,0.7559,8574
2020-2021,Network 9,Economically Disadvantaged,0.6934,6028
2020-2021,Network 10,Economically Disadvantaged,0.6188,10030
2020-2021,Network 11,Economically Disadvantaged,0.8205,7316
2020-2021,Network 12,Economically Disadvantaged,0.7811,7115
2020-2021,Network 13,Economically Disadvantaged,0.7705,7941
2020-2021,Network 14,Economically Disadvantaged,0.4957,11950
2020-2021,Network 15,Economically Disadvantaged,0.6828,10631
2020-2021,Network 16,Economically Disadvantaged,0.715,7668
2020-2021,Network 17,Economically Disadvantaged,0.6823,7282
2020-2021,AUSL,Economically Disadvantaged,0.8317,12263
2020-2021,ISP,Economically Disadvantaged,0.5607,31508
2020-2021,Charter,Economically Disadvantaged,0.6874,35306
2020-2021,Contract,Economically Disadvantaged,0.5945,865
2020-2021,Options,Economically Disadvantaged,0.661,4380
2019-2020,Network 1,Economically Disadvantaged,0.6456,23145
2019-2020,Network 2,Economically Disadvantaged,0.7511,18551
2019-2020,Network 3,Economically Disadvantaged,0.903,17903
2019-2020,Network 4,Economically Disadvantaged,0.6041,14843
2019-2020,Network 5,Economically Disadvantaged,0.9036,13872
2019-2020,Network 6,Economically Disadvantaged,0.6814,9933
2019-2020,Network 7,Economically Disadvantaged,0.9195,14906
2019-2020,Network 8,Economically Disadvantaged,0.9244,21150
2019-2020,Network 9,Economically Disadvantaged,0.8054,10900
2019-2020,Network 10,Economically Disadvantaged,0.7953,19686
2019-2020,Network 11,Economically Disadvantaged,0.8921,14570
2019-2020,Network 12,Economically Disadvantaged,0.8919,12289
2019-2020,Network 13,Economically Disadvantaged,0.8846,13697
2019-2020,AUSL,Economically Disadvantaged,0.9246,15609
2019-2020,Service Leadership Academies,Economically Disadvantaged,0.9233,2840
2019-2020,ISP,Economically Disadvantaged,0.6462,25752
2019-2020,Charter,Economically Disadvantaged,0.8802,47403
2019-2020,Contract,Economically Disadvantaged,0.763,1288
2019-2020,Options,Economically Disadvantaged,0.9276,7563
2014-2015,AUSL,Economically Disadvantaged,0.9678,17392
2014-2015,Service Leadership Academies,Economically Disadvantaged,0.932,2876
2014-2015,Network 1,Economically Disadvantaged,0.7213,29158
2014-2015,Network 2,Economically Disadvantaged,0.8222,21576
2014-2015,Network 3,Economically Disadvantaged,0.9594,22415
2014-2015,Network 4,Economically Disadvantaged,0.6377,18649
2014-2015,Network 5,Economically Disadvantaged,0.9453,15239
2014-2015,Network 6,Economically Disadvantaged,0.6304,13771
2014-2015,Network 7,Economically Disadvantaged,0.9772,17483
2014-2015,Network 8,Economically Disadvantaged,0.9726,29343
2014-2015,Network 9,Economically Disadvantaged,0.8586,12091
2014-2015,Network 10,Economically Disadvantaged,0.81,21286
2014-2015,Network 11,Economically Disadvantaged,0.9281,15680
2014-2015,Network 12,Economically Disadvantaged,0.9358,12478
2014-2015,Network 13,Economically Disadvantaged,0.9264,15349
2014-2015,OS4,Economically Disadvantaged,0.9485,18489
2014-2015,Options,Economically Disadvantaged,0.9271,8703
2014-2015,Contract,Economically Disadvantaged,0.77,1413
2014-2015,Charter,Economically Disadvantaged,0.9123,47852
2013-2014,Network 1,Economically Disadvantaged,0.7104,29101
2013-2014,Network 2,Economically Disadvantaged,0.8249,22407
2013-2014,Network 3,Economically Disadvantaged,0.9491,23313
2013-2014,Network 4,Economically Disadvantaged,0.6305,18381
2013-2014,Network 5,Economically Disadvantaged,0.9359,16959
2013-2014,Network 6,Economically Disadvantaged,0.6156,12818
2013-2014,Network 7,Economically Disadvantaged,0.9769,18130
2013-2014,Network 8,Economically Disadvantaged,0.9671,28216
2013-2014,Network 9,Economically Disadvantaged,0.8339,12312
2013-2014,Network 10,Economically Disadvantaged,0.7777,19387
2013-2014,Network 11,Economically Disadvantaged,0.9205,17389
2013-2014,Network 12,Economically Disadvantaged,0.9249,13593
2013-2014,Network 13,Economically Disadvantaged,0.915,15672
2013-2014,AUSL,Economically Disadvantaged,0.9468,16151
2013-2014,Charter,Economically Disadvantaged,0.9081,49557
2013-2014,Contract,Economically Disadvantaged,0.8102,2104
2013-2014,Military,Economically Disadvantaged,0.9191,2489
2013-2014,OS4,Economically Disadvantaged,0.9165,20441
2013-2014,Options,Economically Disadvantaged,0.8623,2048
2011-2012,Austin-North Lawndale Elementary Network,Economically Disadvantaged,0.9444,16074
2011-2012,Burnham Park Elementary Network,Economically Disadvantaged,0.8436,13489
2011-2012,Englewood-Gresham Elementary Network,Economically Disadvantaged,0.9478,13772
2011-2012,Far South Side High School Network,Economically Disadvantaged,0.8923,9706
2011-2012,Fullerton Elementary Network,Economically Disadvantaged,0.8395,28027
2011-2012,Fulton Elementary Network,Economically Disadvantaged,0.7829,10653
2011-2012,Garfield-Humboldt Elementary Network,Economically Disadvantaged,0.9507,13334
2011-2012,Lake Calumet Elementary Network,Economically Disadvantaged,0.9256,12290
2011-2012,Midway Elementary Network,Economically Disadvantaged,0.9099,31744
2011-2012,North-Northwest Side High School Network,Economically Disadvantaged,0.7985,28100
2011-2012,O'Hare Elementary Network,Economically Disadvantaged,0.7001,21304
2011-2012,Pershing Elementary Network,Economically Disadvantaged,0.9348,20932
2011-2012,Pilsen-Little Village Elementary Network,Economically Disadvantaged,0.9385,16756
2011-2012,Ravenswood-Ridge Elementary Network,Economically Disadvantaged,0.7035,19662
2011-2012,Rock Island Elementary Network,Economically Disadvantaged,0.7491,9337
2011-2012,Skyway Elementary Network,Economically Disadvantaged,0.9222,16831
2011-2012,South Side High School Network,Economically Disadvantaged,0.8966,20990
2011-2012,Southwest Side High School Network,Economically Disadvantaged,0.9339,20910
2011-2012,West Side High School Network,Economically Disadvantaged,0.8894,23318
